Name,Exc %,Exc,Exc Ct
Process64 dotnet (27804) Args:  EntityMgmt.Tests.Benchmarks-1.dll --anonymousPipes 1588 1316 --benchmarkName Aveva.Platform.EntityMgmt.Tests.Benchmarks.Serialization.EntitySerializationBenchmarks.SerializeBulkEntities100_SystemTextJson --job Default --benchmarkId 4,0.0,0,0
Thread (50372),0.0,0,0
BROKEN,0.0,0,0
module 1 <<EntityMgmt.Tests.Benchmarks-1!BenchmarkDotNet.Autogenerated.UniqueProgramName.Main(class System.String[])>>,0.0,0,0
"module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Reflection.MethodBase.Invoke(class System.Object,class System.Object[])>>",0.0,0,0
module  <<?!?>>,0.0,0,0
"module 1 <<EntityMgmt.Tests.Benchmarks-1!BenchmarkDotNet.Autogenerated.Runnable_4.Run(class BenchmarkDotNet.Engines.IHost,class System.String)>>",0.0,0,0
module BenchmarkDotNet <<BenchmarkDotNet!BenchmarkDotNet.Engines.Engine.Run()>>,0.0,0,0
module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Collections.Generic.List`1[System.__Canon]..ctor(int32)>>,0.0,0,0
module 1 <<EntityMgmt.Tests.Benchmarks-1!BenchmarkDotNet.Autogenerated.Runnable_4.WorkloadActionNoUnroll(int64)>>,0.0,0,0
"module System.Text.Json.il <<System.Text.Json.il!System.Text.Json.JsonSerializer.WriteString(!!0&,class System.Text.Json.Serialization.Metadata.JsonTypeInfo`1<!!0>)>>",0.0,0,0
"module System.Text.Json.il <<System.Text.Json.il!System.Text.Json.JsonSerializer.Serialize(!!0,class System.Text.Json.JsonSerializerOptions)>>",0.0,0,0
module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Text.Encoding.GetString(value class System.ReadOnlySpan`1<unsigned int8>)>>,0.0,0,0
module BenchmarkDotNet <<BenchmarkDotNet!BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(class BenchmarkDotNet.Engines.EngineParameters)>>,0.0,0,0
"module System.Collections.Concurrent.il <<System.Collections.Concurrent.il!System.Collections.Concurrent.ConcurrentDictionary`2[System.__Canon,System.__Canon].GetOrAdd(!0,class System.Func`3<!0,!!0,!1>,!!0)>>",0.0,0,0
"module System.Text.Json.il <<System.Text.Json.il!System.Text.Json.JsonSerializerOptions+CachingContext.CreateCacheEntry(class System.Type,class CachingContext)>>",0.0,0,0
"module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Reflection.RuntimeConstructorInfo.Invoke(value class System.Reflection.BindingFlags,class System.Reflection.Binder,class System.Object[],class System.Globalization.CultureInfo)>>",0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Tests.Benchmarks.Serialization.EntitySerializationBenchmarks.Setup()>>,0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Tests.Benchmarks.Serialization.EntitySerializationBenchmarks.SerializeBulkEntities100_SystemTextJson()>>,0.0,0,0
ROOT,0.0,0,0
