Name,Exc %,Exc,Exc Ct
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Tests.Benchmarks.Serialization.EntitySerializationBenchmarks+<SerializeBulkEntities100_Kiota>d__20.MoveNext()>>,0.0,0,0
"module Microsoft.Kiota.Abstractions <<Microsoft.Kiota.Abstractions!Microsoft.Kiota.Abstractions.Serialization.KiotaSerializer.SerializeAsStringAsync(class System.String,!!0,bool,value class System.Threading.CancellationToken)>>",0.0,0,0
"module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Array.FindAll(!!0[],class System.Predicate`1<!!0>)>>",0.0,0,0
module Microsoft.Kiota.Abstractions <<Microsoft.Kiota.Abstractions!Microsoft.Kiota.Abstractions.Serialization.KiotaSerializer+<GetStringFromStreamAsync>d__32.MoveNext()>>,0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Client.Api.Models.Entity.Serialize(class Microsoft.Kiota.Abstractions.Serialization.ISerializationWriter)>>,0.0,0,0
"module Microsoft.Kiota.Serialization.Json <<Microsoft.Kiota.Serialization.Json!Microsoft.Kiota.Serialization.Json.JsonSerializationWriter.WriteCollectionOfObjectValues(class System.String,class System.Collections.Generic.IEnumerable`1<!!0>)>>",0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Client.Api.Models.RelationshipPayload.Serialize(class Microsoft.Kiota.Abstractions.Serialization.ISerializationWriter)>>,0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Client.Api.Models.Target.Serialize(class Microsoft.Kiota.Abstractions.Serialization.ISerializationWriter)>>,0.0,0,0
"module Microsoft.Kiota.Serialization.Json <<Microsoft.Kiota.Serialization.Json!Microsoft.Kiota.Serialization.Json.JsonSerializationWriter.WriteEnumValue(class System.String,value class System.Nullable`1<!!0>)>>",0.0,0,0
module Microsoft.Kiota.Abstractions <<Microsoft.Kiota.Abstractions!Microsoft.Kiota.Abstractions.Helpers.EnumHelpers.GetEnumStringValue(!!0)>>,0.0,0,0
"module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Attribute.GetCustomAttributes(class System.Reflection.MemberInfo,class System.Type,bool)>>",0.0,0,0
module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Collections.Generic.List`1[System.__Canon].System.Collections.Generic.IEnumerable<T>.GetEnumerator()>>,0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Client.Api.Models.PropertyPayload.Serialize(class Microsoft.Kiota.Abstractions.Serialization.ISerializationWriter)>>,0.0,0,0
"module Microsoft.Kiota.Abstractions <<Microsoft.Kiota.Abstractions!Microsoft.Kiota.Abstractions.Serialization.KiotaJsonSerializer.SerializeAsStringAsync(!!0,bool,value class System.Threading.CancellationToken)>>",0.0,0,0
module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1[System.__Canon].Start(!!0&)>>,0.0,0,0
module System.Private.CoreLib.il <<System.Private.CoreLib.il!System.Reflection.Emit.DynamicResolver.Finalize()>>,0.0,0,0
module EntityMgmt.Tests.Benchmarks <<EntityMgmt.Tests.Benchmarks!Aveva.Platform.EntityMgmt.Client.Api.Models.BulkEntities.Serialize(class Microsoft.Kiota.Abstractions.Serialization.ISerializationWriter)>>,0.0,0,0
"module Microsoft.Kiota.Serialization.Json <<Microsoft.Kiota.Serialization.Json!Microsoft.Kiota.Serialization.Json.JsonSerializationWriter.WriteObjectValue(class System.String,!!0,class Microsoft.Kiota.Abstractions.Serialization.IParsable[])>>",0.0,0,0
ROOT,0.0,0,0
